subject,message
"Password Reset Help","I can't access my account, can you help me reset my password? I tried the link at {url} but it didn't work."
"Order Status Inquiry","My order hasn't arrived yet and it's past the expected delivery date. Can you check the status for me?"
"Damaged Item Replacement","I received a damaged item in my last shipment. What is the process for getting a replacement?"
"Shipping Address Update","Is there a way to update my shipping address before my order ships? I found some info at {url} but need confirmation."
"Billing Issue - Double Charge","I was double charged for my last purchase. Can you refund the extra amount?"
"Unsubscribe Request","How do I unsubscribe from your newsletter? I couldn't find the option at {url}."
"Promo Code Not Working","The promo code I received isn't working at checkout. Can you provide a new one?"
"Return Without Packaging","I want to return an item but lost the original packaging. Is that okay?"
"Bulk Order Discounts","Do you offer bulk discounts for large orders? Please let me know the details."
"Package Not Received","My tracking number at {url} says delivered, but I haven't received anything."
"Invoice Request","Can you send me an invoice for my last order? I need it for my records."
"Order Change Request","I accidentally ordered the wrong size. Is it possible to change it before shipping?"
"Payment Information Update","How do I update my payment information? The instructions at {url} were unclear."
"Loyalty Program Inquiry","I'm interested in your loyalty program. Where can I find more information?"
"App Login Issues","The app keeps crashing when I try to log in. Is there a fix for this issue?"
"Subscription Cancellation","I need to cancel my subscription. Can you confirm it's been canceled?"
"Sales and Promotions","Are there any upcoming sales or promotions I should know about?"
"Email Address Change","I want to change my email address associated with my account. How do I do that?"
"Product Availability","The product I want is out of stock. When will it be available again?"
"Wrong Item Received","I received the wrong item in my order. What should I do next?"
"Two-Factor Authentication Help","Can you help me reset my two-factor authentication? The link at {url} isn't working."
"Express Shipping Request","Is it possible to expedite my shipping for an additional fee?"
"Return Policy Question","I have a question about your return policy. Where can I read the full terms?"
"Gift Card Issue","My gift card code isn't being accepted at checkout. Can you assist?"
"Billing Address Update","I need to update my billing address. Is there a form I can fill out at {url}?"
"International Shipping Rates","Do you offer international shipping? If so, what are the rates?"
"Customer Feedback Submission","I want to provide feedback about my recent experience. Where should I submit it?"
"Color Exchange Request","The color I ordered looks different from the website. Can I exchange it?"
"Purchase History Download","How do I download a copy of my purchase history? I couldn't find the option at {url}."
"Technical Support Request","I need technical support for a product I bought last month. Can someone contact me?"
"Missing Order Confirmation","I can't find my order confirmation email. Can you resend it to me?"
"Payment Declined Issues","My payment keeps getting declined even though my card is valid. What should I do?"
"Delivery Date Change","I want to change the delivery date for my order. Is that possible?"
"Website Access Problems","The website at {url} isn't loading for me. Is there an outage?"
"Warranty Documentation","I need a copy of my warranty information. Where can I download it?"
"Business Account Application","Can you tell me how to apply for a business account?"
"Store Credit Issues","I tried to use my store credit but it didn't apply at checkout. Can you help?"
"Account Unlock Request","My account was locked after too many login attempts. How do I unlock it?"
"Physical Store Locations","I want to know if you have a physical store location near me."
"Missing Instructions","The instructions in my package were missing. Can you send them to me?"
"Partial Refund Inquiry","I received a partial refund but not the full amount. Can you explain why?"
"Return Tracking","How do I track my return shipment? I sent it back last week."
"Subscription Pause Request","Is there a way to pause my subscription instead of canceling it?"
"Phone Number Update","I need to update the phone number on my account. Where can I do that?"
"Expired Discount Extension","The discount at {url} expired before I could use it. Can you extend it?"
"Data Privacy Inquiry","I want to know if my personal data is shared with third parties."
"Invoice Breakdown Request","Can you provide a breakdown of the charges on my invoice?"
"Missing Package Investigation","My package was marked as delivered but I can't find it. What are my options?"
"Gift Message Addition","I want to add a gift message to my order. Is it too late?"
"Missing Accessory","The product I received is missing an accessory. How do I get a replacement?"
"Password Reset Email Not Received","I tried to reset my password but never received the email. Can you assist?"
"Loyalty Points Redemption","How do I redeem loyalty points on my next purchase?"
"Order Recipient Change","I need to change the recipient name for my order. Can you update it?"
"App Login Credentials Issue","The app at {url} won't let me log in with my credentials."
"Free Shipping Eligibility","Can you tell me if my order qualifies for free shipping?"
"Order Combination Request","I want to combine two separate orders into one shipment. Is that possible?"
"Delivery Date Updates","The estimated delivery date keeps changing. Can you provide an update?"
"VAT Invoice Request","I need a VAT invoice for my recent purchase. Where can I request it?"
"Marketing Email Opt-out","How do I opt out of marketing emails from your company?"
"Product Description Clarification","The product description at {url} is unclear. Can you provide more details?"
"Account Preferences Update","I need help updating my account preferences. The instructions at {url} didn't work for me."
"Late Delivery Complaint","My package arrived late and the tracking information was not updated. Can you explain the delay?"
"Price Matching Policy","I want to know if you offer price matching for items found cheaper elsewhere."
"Payment Page Error","The payment page at {url} keeps giving me an error. Is there another way to pay?"
"Unexpected Order Cancellation","I received a notification that my order was canceled, but I didn't request this. What happened?"
"Warranty Information Request","Can you provide more information about your product warranty terms?"
"Invalid Discount Code","I tried to apply a discount code at checkout, but it says it's invalid. Can you check this?"
"Scheduled Delivery Request","Is there a way to schedule a delivery for a specific date?"
"Contact Information Update","I need to update my contact information but can't find the option in my account settings."
"Missing Manual Request","The product I received is missing the instruction manual. Can you send a digital copy?"
"Product Recycling Program","I want to know if you have a recycling program for old products."
"Duplicate Charge Refund","My account was charged twice for the same order. Can you refund the duplicate charge?"
"Support Form No Response","I tried to contact support through the form at {url} but never received a response."
"Holiday Delivery Timing","Can you tell me if my order will arrive before the holiday?"
"Shipping Method Change","I want to change the shipping method for my order. Is it too late?"
"Return Label Issues","The return label I received is not working at the courier. Can you send a new one?"
"Subscription Address Update","I need to update the delivery address for my subscription box."
"Wrong Color Received","The product I received is a different color than what I ordered. What should I do?"
"Compatible Accessories List","Can you provide a list of compatible accessories for my recent purchase?"
"Gift Wrapping Services","I want to know if you offer gift wrapping services."
"Broken Download Link","The link to download my invoice at {url} is broken. Can you send it directly?"
"Packaging Environmental Impact","I have a question about the environmental impact of your packaging materials."
"Loyalty Points Not Applied","My loyalty points did not apply to my last order. Can you fix this?"
"Account Merge Request","I want to merge two accounts into one. Is that possible?"
"Delivery Window Clarification","The estimated delivery window at {url} is unclear. Can you clarify?"
"Business Tax Information","I need to update my tax information for business purchases."
"Product Authenticity Certificate","Can you provide a certificate of authenticity for my product?"
"Online Ordering for In-Store Items","The product I want is only available in-store. Can I order it online?"
"Expired Password Reset Link","I tried to reset my password but the link at {url} expired. Can you send a new one?"
"Stock Notification Request","Is there a way to receive notifications when an out-of-stock item is available again?"
"Student or Military Discounts","I want to know if you offer student or military discounts."